name,S_down,maxvalue,range1,range2,dmq,V_sum,S_ret,curvature,alt_stderr_mean_5,alt_rvalue_min_50,V1,V2,stability,std,level_shift_size,var,dnp,fft_abs_1,F1,asoc,F2,erbc_num10_focus4,erbc_num10_focus2,maxindex,minang,fft_imag_3,fft_imag_6,fft_abs_22,lumpiness,minindex,alt_stderr_max_10,retvalue,sumang,mac,S,retang,S_low,retindex,S_sum,alt_stderr_min_5,minvalue,alt_stderr_mean_10,swd_coeff_2,std1st_der,cv,fft_angle_2,maxang,fft_real_2,fft_real_5,alt_stderr_min_50,alt_stderr_max_5,fft_angle_3
20221215-044050-19,0.486247998,0.509060785,0.679904269,0.595736414,0.092598614,0.590827455,0.525738658,0.297409791,0.696715758,0.428598524,0.554322516,0.59819416,0.522948905,0.694225909,0.726455229,0.522690271,0.489513544,0.656553266,0.64,0.618543348,0.545454545,0.271372988,0.678488616,0.6,0.381448983,0.616336933,0.652193141,0.22003828,0.306078454,0.541666667,0.648118144,0.438020141,0.401783047,0.618543346,0.56643946,0.476661213,0.515310313,0.904761905,0.546443905,0.601914738,0.365934578,0.694233342,0.489191885,0.641659924,0.708330775,0.371056176,0.426940144,0.416623318,0.746850247,0.625469509,0.700606346,0.432495647
20221215-043739-17,0.351490814,0.687598419,0.5733785,0.449884975,0.555102303,0.593008755,0.507964849,0.391910426,0.549741898,0.485988204,0.664594414,0.447314466,0.347302803,0.54563078,0.613276402,0.34529403,0.531117893,0.460020701,0.44,0.433532934,0.636363636,0.580422319,0.554034415,0.6,0.394405403,0.458327068,0.415982549,0.383283598,0.0875874,0.333333333,0.508314088,0.624352693,0.412144751,0.433532933,0.499452826,0.620797102,0.424390978,0.761904762,0.468399301,0.482574406,0.588714321,0.538857576,0.298054373,0.548153496,0.433064815,0.511260893,0.349469749,0.612517765,0.54701508,0.482822229,0.542793807,0.61590458
20221215-043557-16-2,0.258195571,0.368016054,0.363877822,0.222728899,0.288931309,0.331481082,0.397446683,0.691896361,0.342484985,0.42862315,0.411470283,0.229660969,0.136412454,0.32783065,0.375194174,0.149764602,0.090420051,0.291045465,0.4,0.276093465,0.909090909,0.605474064,0.580935201,0.6,0.669326673,0.423780806,0.705335863,0.120476534,0.033219103,0.291666667,0.320428458,0.322397367,0.646630954,0.276093465,0.277988787,0.910806262,0.297382482,1.0,0.286784658,0.294427045,0.383071481,0.339261161,0.125028434,0.312299519,0.377315595,0.30964464,0.479925827,0.568476315,0.238172831,0.375056341,0.349431838,0.565258577
20221215-043440-16-1,0.20492142,0.421577344,0.315706869,0.181156383,0.174485467,0.266510025,0.238585629,0.710430104,0.318601649,0.452463909,0.238694266,0.330729658,0.129380613,0.291066138,0.346163754,0.12432212,0.069276307,0.267145311,0.52,0.249144103,0.318181818,0.668504519,0.515950616,0.8,0.733350035,0.253708765,0.367620314,0.290222821,0.019401839,0.458333333,0.282879697,0.387465936,0.7438312,0.249144102,0.266968328,0.74480693,0.162399191,0.571428571,0.222981931,0.277535459,0.457730114,0.315875521,0.099900361,0.261206215,0.302194127,0.485048933,0.78729048,0.662977065,0.390434489,0.313289819,0.313631344,0.698560141
20221215-043311-15-3,0.311670129,0.633144441,0.487923529,0.301620572,0.140396668,0.368127386,0.459328225,0.471914786,0.495622352,0.478518217,0.415371568,0.304724602,0.288325815,0.465854986,0.521306408,0.264777806,0.230974443,0.451648753,0.56,0.363219214,0.772727273,0.564222319,0.515879725,0.4,0.625770419,0.282886785,0.157498838,0.155744888,0.056849589,0.416666667,0.487826995,0.559280452,0.629945864,0.363219215,0.358500784,0.795175634,0.369225199,1.0,0.363822611,0.422716313,0.577688437,0.491523613,0.225515292,0.423931654,0.391278635,0.474355072,0.565778217,0.595418469,0.595132345,0.415513413,0.507739614,0.699312608
20221215-043131-15-2,0.662984724,0.592355733,0.597005916,0.454997188,0.139621135,0.415260865,0.639243447,0.357208271,0.6059616,0.515711312,0.433503181,0.382755983,0.410068269,0.551313872,0.627530112,0.351422328,0.261144627,0.574819488,0.68,0.445915777,0.863636364,0.486429426,0.429216055,0.2,0.571661771,0.257133787,0.264916923,0.563790289,0.084398115,0.333333333,0.562687652,0.516009138,0.606213377,0.445915779,0.493138027,0.745728702,0.693385322,1.0,0.581118604,0.528225898,0.485892901,0.605318458,0.313423179,0.469468165,0.49626666,0.535050764,0.604339492,0.64222771,0.605693003,0.507328514,0.606800495,0.740560832
20221215-043044-15-1,0.475330014,0.634037129,0.515016583,0.305178672,0.534251228,0.384914781,0.290616115,0.432093814,0.492244255,0.455823576,0.350835059,0.432742628,0.263868272,0.446766,0.534709266,0.247036674,0.119544646,0.453443205,0.68,0.44195522,0.363636364,0.569658418,0.398211324,0.2,0.600244275,0.234461778,0.167228351,0.688811735,0.136224374,0.416666667,0.433761323,0.547465495,0.621812791,0.44195522,0.409304825,0.678457389,0.355515825,0.571428571,0.388643714,0.418891086,0.565469825,0.49252059,0.222691104,0.411903004,0.374984725,0.514701068,0.651734669,0.641044498,0.511264838,0.463440896,0.494260402,0.752527019
20221215-042932-14,0.433758885,0.687598419,0.583569465,0.436767036,0.182382913,0.533972473,0.467389427,0.343902776,0.568923304,0.494706458,0.527882322,0.510518483,0.351467368,0.569712434,0.640589507,0.371620244,0.274505772,0.517172506,0.56,0.521329081,0.454545455,0.550012599,0.500103168,0.4,0.443369418,0.602406387,0.51108922,0.242748926,0.125031201,0.416666667,0.528163188,0.614370395,0.467814339,0.521329081,0.552972084,0.616424241,0.446351767,0.666666667,0.509126713,0.494468825,0.58379603,0.562129091,0.320200687,0.519486624,0.447721704,0.401735699,0.450506876,0.532653787,0.455402914,0.581389914,0.570990259,0.595534484
20221215-042758-13-2,0.277670203,0.759013472,0.406026518,0.265180717,0.429180689,0.376229831,0.329075519,0.619140289,0.344745044,0.607312373,0.387363968,0.362078315,0.139949396,0.345059554,0.400305994,0.162439391,0.149451455,0.258294873,0.48,0.309434392,0.454545455,0.729568372,0.506754018,0.6,0.613394132,0.393275703,0.617882965,0.11586844,0.028330371,0.375,0.32136855,0.718005597,0.595850955,0.309434393,0.346342032,0.730899138,0.264248681,0.619047619,0.312208526,0.299295258,0.738028159,0.33722337,0.140997281,0.353568478,0.238305068,0.42052763,0.519446391,0.604230738,0.335776364,0.309358463,0.342271358,0.601551731
20221215-001332-3,0.366132895,0.669744655,0.521656689,0.413434896,0.231747346,0.500960006,0.479460025,0.427632882,0.516780703,0.485840416,0.540385025,0.420286058,0.300239636,0.504014172,0.535216655,0.30200789,0.217306026,0.497308691,0.48,0.482693309,0.636363636,0.560729126,0.497843512,0.6,0.483316603,0.501162043,0.638919138,0.276955118,0.095188832,0.375,0.475754342,0.619644339,0.504437342,0.482693308,0.483686727,0.732789038,0.414416789,0.80952381,0.455263773,0.446635282,0.596539031,0.512026215,0.279564924,0.466494402,0.398126534,0.356713181,0.430950443,0.533224697,0.330241298,0.554521477,0.520032276,0.499781228
20221215-001251-2-3,0.5788819,0.526914548,0.725603824,0.708654977,0.282135679,0.699781469,0.637619482,0.231326817,0.7821707,0.431749338,0.694960957,0.639197207,0.635762585,0.769287845,0.790604729,0.625867024,0.377337752,0.753186125,0.56,0.649280786,0.636363636,0.213799738,0.624785989,0.6,0.277162331,0.644376939,0.564346243,0.177121037,0.588066029,0.458333333,0.703481655,0.473310759,0.313670079,0.649280786,0.69286943,0.431889605,0.642818352,0.904761905,0.673699354,0.686711746,0.361016287,0.780313441,0.625032922,0.64988633,0.755094256,0.356209245,0.339273797,0.361861029,0.530325796,0.755897034,0.77193664,0.437952663
20221215-001125-2-2,0.59507471,0.583153903,0.713630327,0.745105056,0.175792851,0.65591992,0.678204259,0.230601389,0.781175501,0.412217372,0.590028055,0.690900638,0.641649246,0.767892774,0.775500168,0.623866375,0.341153085,0.727620757,0.64,0.66356743,0.590909091,0.284139315,0.556085856,0.4,0.312596049,0.551239803,0.586707354,0.325682525,0.402347026,0.5,0.698648295,0.550440352,0.349753734,0.663567428,0.694469152,0.336886744,0.678823307,0.904761905,0.689966051,0.684869608,0.420776096,0.778209307,0.623997846,0.638377868,0.699160187,0.420782503,0.456822123,0.417650261,0.720366975,0.748835618,0.775549979,0.527613573
20221215-001039-2-1,0.639701685,0.634037129,0.770216815,0.524778897,0.231924666,0.626448724,0.50576152,0.235867869,0.802683709,0.363539118,0.649935771,0.54153044,0.714332373,0.800376107,0.826246809,0.671266222,0.455373832,0.810692523,0.64,0.584528769,0.545454545,0.245118071,0.758160035,0.6,0.353378218,0.565533292,0.383423153,0.577730305,0.782379383,0.541666667,0.753063543,0.494369808,0.40219033,0.584528768,0.644560051,0.590591908,0.592610989,0.904761905,0.625294376,0.69879642,0.442306901,0.80766298,0.588848912,0.622098958,0.720676275,0.331449422,0.398905286,0.308103218,0.578769284,0.693512846,0.807375904,0.454687476
20221211-014634-H2,0.519795973,0.739374333,0.686544375,0.711211083,0.073179345,0.693570936,0.626629656,0.280447572,0.675390403,0.44854417,0.649014332,0.690407424,0.480435904,0.693187298,0.726455229,0.521326514,0.436872526,0.606388961,0.56,0.615868263,0.545454545,0.468677465,0.510227187,0.4,0.277790818,0.719694669,0.521044811,0.119803275,0.343211383,0.416666667,0.602409796,0.712952013,0.29742972,0.615868262,0.668830635,0.372916252,0.600868506,0.761904762,0.64166072,0.594601483,0.58379603,0.668519908,0.498021135,0.647071818,0.527887798,0.443265402,0.325185109,0.516839901,0.650309704,0.705298566,0.666782294,0.510262492
20221211-014525-H1,0.457554687,0.743837774,0.607104559,0.495884668,0.341637466,0.504498183,0.617708451,0.341188889,0.598193377,0.452407928,0.514347632,0.464823258,0.401119904,0.610095582,0.657411383,0.417871013,0.330555982,0.493562525,0.6,0.481655168,0.681818182,0.51189351,0.55331667,0.4,0.47592841,0.36342452,0.22685263,0.501532377,0.178256848,0.458333333,0.54572382,0.681278968,0.480828602,0.481655167,0.540208997,0.545395286,0.558410573,0.952380952,0.549332903,0.523467325,0.626418936,0.590103632,0.410661217,0.516352699,0.459085536,0.423759008,0.486359516,0.453105435,0.558728001,0.491486236,0.596079016,0.634566638
20221211-013649-E2,0.342142907,0.510846161,0.457741228,0.477664741,0.18562584,0.503781329,0.436509773,0.453568693,0.450482988,0.537380506,0.455801466,0.545899289,0.259056543,0.485994906,0.459350387,0.284134102,0.162311819,0.447890177,0.48,0.414781307,0.454545455,0.590488211,0.378709197,0.4,0.47080956,0.60545287,0.714001232,0.020572546,0.129777392,0.333333333,0.394058465,0.512336475,0.482613588,0.414781307,0.50975479,0.547681133,0.372279004,0.571428571,0.452224001,0.398008739,0.474867018,0.440586931,0.260845294,0.427448584,0.442333215,0.417206915,0.498062734,0.611158427,0.389564096,0.550356409,0.444900158,0.561899446
