name,S_down,maxvalue,range1,range2,dmq,V_sum,S_ret,curvature,alt_stderr_mean_5,alt_rvalue_min_50,V1,V2,stability,std,level_shift_size,var,dnp,fft_abs_1,F1,asoc,F2,erbc_num10_focus4,erbc_num10_focus2,maxindex,minang,fft_imag_3,fft_imag_6,fft_abs_22,lumpiness,minindex,alt_stderr_max_10,retvalue,sumang,mac,S,retang,S_low,retindex,S_sum,alt_stderr_min_5,minvalue,alt_stderr_mean_10,swd_coeff_2,std1st_der,cv,fft_angle_2,maxang,fft_real_2,fft_real_5,alt_stderr_min_50,alt_stderr_max_5,fft_angle_3
20230110-094216-14,97.01782248,28.46556114,10.86550711,4.721725889,54.7081663,0.675491529,58.64859492,92.16486982,0.097051037,0.833789644,0.493886687,0.181604842,11.54515896,3.584382561,0.535314169,12.84779834,0.044685569,270.0492924,22,20.89268599,26,0.058811098,0.134836962,31,2.503200665,48.24090159,-4.00120937,1.780308625,4.886104166,53,0.246384778,22.32177991,6.464132367,0.168489403,397.5225421,3.033377215,155.6664174,79,566.3725248,0.100390246,17.60005402,0.266134633,605.1821015,0.268580493,0.159251111,-126.128371,2.667830672,-88.29810569,0.03059068,2.028848499,0.093713679,106.3338636
20221215-144224-D3,54.79805402,28.53309266,7.289478281,5.231372249,32.35521125,0.672799942,65.05699034,118.7510805,0.065762953,0.880504932,0.485965219,0.186834723,4.748442716,2.411394161,0.369228921,5.8148218,0.020470452,158.6594603,15,16.80427707,28,0.080535316,0.107539451,29,2.504530588,49.48485695,-0.977245175,0.359170441,0.380666211,44,0.155211401,26.47498663,6.439840584,0.135518363,346.5922242,2.995810384,119.8550444,72,468.4926204,0.069606551,21.24361438,0.176035986,311.5764372,0.218198324,0.094480997,-102.4259112,2.670855342,-22.14390432,4.536197492,1.645479816,0.062079845,128.0336454
20230110-095455-6,81.01652512,34.59379449,9.73735484,6.093532883,52.99356682,0.712554145,90.69790998,96.72833737,0.081929214,0.86695644,0.486867742,0.225686403,7.265189622,3.017285617,0.487822944,9.104012496,0.034852044,193.7198738,20,18.8177855,27,0.077309843,0.113894254,29,2.466538261,57.83642109,-5.137009181,1.236824328,1.201162953,49,0.189199083,30.94997253,6.359912288,0.151756335,418.6802493,2.951906029,171.7144351,76,607.0085567,0.086738442,24.85643965,0.219483634,474.8100912,0.260210204,0.100491334,-111.6778874,2.650806754,-50.930884,0.049527207,2.053295015,0.077035636,128.762004
20230111-100411-5,135.715932,36.13513631,13.03508225,7.849918517,93.82567732,0.83386615,103.2360399,71.7060849,0.125213969,0.850909017,0.543128427,0.290737723,17.22603774,4.305091783,0.629647363,18.53381526,0.059947104,334.7921947,24,25.84384475,27,0.060395893,0.116958825,28,2.361102645,64.50922446,-2.262738426,0.464704482,4.431376462,52,0.303210748,30.94997258,6.25840612,0.208418103,542.8215742,2.944158098,238.9519719,79,813.0357146,0.130909241,23.10005406,0.341134705,1045.433672,0.31980793,0.144458629,-123.4143323,2.639214166,-95.29661813,2.896998339,3.117659701,0.119363537,113.4321446
20230109-101502-12,68.37044544,31.67261288,8.529052392,5.534658878,43.59778784,0.680246347,85.45609131,102.4579884,0.077634286,0.871457705,0.501708964,0.178537383,6.435749155,2.860637939,0.442006719,8.183249418,0.024010358,189.6962556,17,18.90925118,31,0.073812677,0.117085776,31,2.499902945,53.15265397,0.201984711,0.264182603,1.661396769,48,0.179458488,28.67821937,6.428567501,0.152493961,384.2337246,3.006037079,153.8265367,79,551.1251891,0.081561557,23.14356049,0.209796579,462.2981193,0.236452145,0.102578936,-121.4957406,2.652307283,-67.61667246,-4.850543509,1.893384069,0.07375876,114.5075214
20230109-105542-19,76.40175603,27.1478705,8.647870585,6.09353353,41.41090393,0.709048314,76.32178237,97.91820659,0.076279065,0.88395343,0.455151083,0.25389723,6.328306772,2.791581408,0.447498654,7.792926756,0.023130139,186.6768039,19,18.87544731,24,0.07599877,0.106610012,28,2.465820082,46.97103871,-6.296989053,0.633038576,0.674379272,47,0.171250439,24.59353345,6.374324496,0.152221349,423.9408464,2.928904972,152.7235384,71,582.6988456,0.081464864,18.49999992,0.203470636,394.0126254,0.24041522,0.117620313,-106.5559146,2.69027003,-33.20912919,-1.253816036,2.03073059,0.071243865,140.044955
20230109-105244-18,48.59951369,24.44997296,6.899945949,5.578165951,33.47122493,0.659432171,61.5776257,117.0183713,0.065342851,0.873442328,0.405879173,0.253552998,5.225564004,2.52548072,0.354676675,6.378052869,0.016445657,177.5830453,17,17.92866136,22,0.075865598,0.104762021,31,2.507708465,64.38808802,4.455052747,0.939434235,0.565608726,48,0.14261261,23.12819296,6.471969866,0.144585979,388.5195946,2.946952343,110.1771394,70,488.3179599,0.070090308,17.55002701,0.174145433,350.3816113,0.214927496,0.113014268,-114.0487977,2.751804122,-33.44312221,-1.513527748,2.07660925,0.060542016,116.7589278
20230206-134945-15,74.42089079,27.09353341,10.49347951,8.349919354,85.28642332,0.954053875,124.5469001,82.66360029,0.098202759,0.871465503,0.655842469,0.298211405,10.61277187,3.643090787,0.520323321,13.27211048,0.116441607,249.4664591,16,22.65504235,28,0.066185201,0.108971705,31,2.271306132,90.09423731,2.387148776,2.703706208,4.752073617,47,0.221479643,24.94997325,6.096792619,0.182701954,548.0174959,2.914186829,198.9677909,75,754.262574,0.105126323,16.6000539,0.263666598,736.7374013,0.344418732,0.155916171,-108.9933945,2.55810401,-43.87473169,-13.15843348,2.861852792,0.09108027,118.0093622
20230109-104754-17,78.64013709,30.22527639,8.725276491,5.949973219,40.54162403,0.635858735,82.37499979,101.4563792,0.08050105,0.863035093,0.415489357,0.220369378,6.949623255,2.869223626,0.441801177,8.232444217,0.017502912,205.3471846,21,18.81174668,27,0.070297314,0.114612543,30,2.530902501,54.05803189,2.583732518,1.558102604,1.401029996,51,0.18994051,27.44997312,6.501228192,0.151707635,396.2012014,2.973412503,161.0151369,78,572.3087644,0.084998834,21.4999999,0.217969411,492.5510672,0.228712053,0.108718241,-121.1630395,2.740296033,-63.01778249,-0.637775005,2.123620769,0.075912578,107.011509
20230109-105141-18,67.31115185,27.30396454,7.803964454,5.449972807,32.09218405,0.605376857,83.99999777,112.9740015,0.065832749,0.869114368,0.410734971,0.194641886,4.65931416,2.508940402,0.395932821,6.294781942,0.017018094,159.3068735,19,16.9060182,28,0.076051469,0.114502103,30,2.559628124,56.30290752,7.400099724,1.182062275,0.792689986,49,0.149413078,24.94997289,6.4908589,0.136338856,372.0869783,2.982321771,151.3111496,77,537.272815,0.069857082,19.50000008,0.175881492,343.9151773,0.217302444,0.104132777,-127.0151457,2.690422456,-61.11250444,-6.477099675,1.991841772,0.061742276,121.9340787
