name,S_down,maxvalue,range1,range2,dmq,V_sum,S_ret,curvature,alt_stderr_mean_5,alt_rvalue_min_50,V1,V2,stability,std,level_shift_size,var,dnp,fft_abs_1,F1,asoc,F2,erbc_num10_focus4,erbc_num10_focus2,maxindex,minang,fft_imag_3,fft_imag_6,fft_abs_22,lumpiness,minindex,alt_stderr_max_10,retvalue,sumang,mac,S,retang,S_low,retindex,S_sum,alt_stderr_min_5,minvalue,alt_stderr_mean_10,swd_coeff_2,std1st_der,cv,fft_angle_2,maxang,fft_real_2,fft_real_5,alt_stderr_min_50,alt_stderr_max_5,fft_angle_3
20221122-154127-余建林,0.462392765,0.598329602,0.60177827,0.493328562,0.855038139,0.566858391,0.45681058,0.351603172,0.542393577,0.405710939,0.508411945,0.610309241,0.333248512,0.559978528,0.644500301,0.360866221,0.24894707,0.432507913,0.6,0.391076543,0.363636364,0.513866914,0.609193561,0.6,0.403877926,0.488475309,0.451504894,0.598408821,0.250317979,0.5,0.457998121,0.533454286,0.424089965,0.391076541,0.56354053,0.401799836,0.456306837,0.666666667,0.519651053,0.485936752,0.489323709,0.535324456,0.343183565,0.495700144,0.490674014,0.450759757,0.508903065,0.51542636,0.475797064,0.540164933,0.527606499,0.54638506
20221122-153947-余建林,0.455361968,0.654568957,0.623310679,0.524339246,0.80860173,0.599120128,0.473407576,0.334684453,0.609342257,0.477908611,0.621821301,0.521135673,0.423235088,0.618604662,0.672312988,0.427952635,0.449520428,0.511509222,0.52,0.427095808,0.590909091,0.475729292,0.565688502,0.4,0.38057248,0.432646009,0.306794191,0.507626006,0.132028472,0.375,0.552678877,0.5913024,0.393384226,0.427095809,0.543977919,0.497885156,0.462994128,0.761904762,0.511181322,0.533345813,0.532913136,0.600658928,0.415408754,0.558482663,0.517032052,0.451854179,0.389138085,0.495701546,0.73345919,0.522937082,0.607416726,0.573427864
20221122-152330-伊波,0.251287091,0.669744655,0.360326963,0.250508665,0.640716862,0.362269334,0.286881744,0.579748881,0.364110202,0.571660168,0.363852871,0.364576122,0.157273364,0.32728114,0.390306541,0.149368239,0.064714731,0.314290457,0.44,0.315315022,0.409090909,0.712754928,0.446141667,0.6,0.627902683,0.292674503,0.513298088,0.182197185,0.024748825,0.333333333,0.328297284,0.644552339,0.654462965,0.315315023,0.337546944,0.751193665,0.221195609,0.523809524,0.288744263,0.320551345,0.674398837,0.362145639,0.129961426,0.297355817,0.244768415,0.544923187,0.665535798,0.701240917,0.36108031,0.327855032,0.364917892,0.671100229
20221122-152242-伊波,0.294998417,0.671530032,0.418681779,0.362312765,0.448256338,0.423258335,0.371881086,0.510662137,0.450583449,0.508667329,0.44622598,0.382378052,0.223992449,0.438625691,0.450545247,0.239650258,0.20108041,0.373891884,0.44,0.404494272,0.636363636,0.597868656,0.439780021,0.4,0.563544144,0.378999131,0.156887935,0.095050607,0.144718796,0.291666667,0.446315016,0.656370968,0.588092572,0.40449427,0.382991262,0.699293806,0.302370594,0.714285714,0.349503123,0.392663083,0.647949741,0.443041457,0.24519847,0.435218017,0.33574906,0.501182174,0.589678753,0.62921334,0.643279221,0.383954059,0.457204778,0.574671214
20221122-152126-李勇,0.270279366,0.653676268,0.356769002,0.378968355,0.446735488,0.31108397,0.573916281,0.574246709,0.355472932,0.511635989,0.28983802,0.35652895,0.148160046,0.384722747,0.371291186,0.193441857,0.068843263,0.294205759,0.52,0.369330903,0.772727273,0.679673634,0.440142091,0.6,0.683242972,0.38393626,0.747969326,0.077764856,0.047949002,0.416666667,0.317683301,0.676008697,0.679921871,0.369330904,0.38729728,0.696235086,0.419604637,1.0,0.401267948,0.309114752,0.660692742,0.349018736,0.195745213,0.333805682,0.289038738,0.334926732,0.695668224,0.536984519,0.465009923,0.368654325,0.355530998,0.529372392
20221122-150018-杨政伟,0.368009802,0.347484226,0.377846901,0.539021522,0.417511602,0.399295877,0.579888281,0.490548235,0.414555018,0.548812686,0.316090987,0.513410864,0.204516155,0.45413082,0.4003138,0.253811697,0.092188897,0.392507923,0.52,0.371146837,0.636363636,0.553694014,0.324690337,0.2,0.581506845,0.52385969,0.696405178,0.351356429,0.179153596,0.333333333,0.338853804,0.407669255,0.588776881,0.371146838,0.490621392,0.506622807,0.481029759,0.761904762,0.48739383,0.371222768,0.356622385,0.41365117,0.26964012,0.381423825,0.490536543,0.483758622,0.685339066,0.644290639,0.25404662,0.489549772,0.401827214,0.512833986
20221122-145849-杨政伟,0.316938044,0.491207022,0.466852732,0.452441082,0.675844261,0.513033621,0.386666401,0.500319144,0.448633599,0.42865393,0.514223643,0.48376447,0.218154682,0.475605627,0.492275988,0.274067199,0.172699031,0.347007261,0.44,0.319705155,0.545454545,0.53444569,0.514263675,0.6,0.466002475,0.553939062,0.566787178,0.084450328,0.158995047,0.333333333,0.398118415,0.478364343,0.461589319,0.319705154,0.448449873,0.543963557,0.324929777,0.666666667,0.396806958,0.394167677,0.451619095,0.441382214,0.294101405,0.424102726,0.455871516,0.412181339,0.442842497,0.538811467,0.496644376,0.500242058,0.442962516,0.478066424
20221122-145810-张林,0.39848189,0.368908742,0.50768761,0.352752927,0.148225775,0.440314578,0.442796088,0.431021798,0.517726493,0.443530519,0.477810329,0.375289254,0.296214483,0.478835137,0.546418229,0.277177814,0.138529336,0.493690598,0.52,0.36150742,0.636363636,0.426836387,0.556101078,0.4,0.546924913,0.4739196,0.489403843,0.102682682,0.093712614,0.375,0.469030712,0.295649364,0.566433221,0.36150742,0.438737873,0.771504621,0.409543801,0.80952381,0.427683092,0.453144956,0.314523868,0.517302255,0.24218728,0.398402864,0.560161447,0.442825328,0.502697297,0.594169757,0.393321665,0.508054688,0.516158001,0.560981097
20221122-145726-张林,0.316924914,0.384084441,0.43133704,0.283400644,0.226967621,0.366113525,0.339878253,0.529689008,0.414357053,0.42862315,0.348807441,0.39426831,0.196155053,0.398783939,0.457156908,0.205043138,0.108255206,0.358899857,0.56,0.342010544,0.409090909,0.552000523,0.560349805,0.6,0.622182323,0.38684113,0.445870809,0.151004241,0.063029228,0.458333333,0.373411674,0.325831307,0.636433139,0.342010542,0.37867054,0.729667607,0.294402714,0.666666667,0.343850482,0.362969059,0.365938006,0.412223691,0.175674325,0.353734786,0.446645406,0.447612014,0.632019275,0.607864728,0.342359886,0.420963892,0.417099139,0.587382719
20221122-144932-刘师,0.342839491,0.759906161,0.43311247,0.39875262,0.728587223,0.354785964,0.451820194,0.523018455,0.463039645,0.411797466,0.32044848,0.409398877,0.237751064,0.439391266,0.457156908,0.240340369,0.092442206,0.427956267,0.6,0.342973835,0.636363636,0.583586606,0.498545882,0.6,0.633559837,0.445103742,0.568881196,0.082787005,0.102583332,0.5,0.426662825,0.752895895,0.646387922,0.342973834,0.387215832,0.688738921,0.382675852,0.952380952,0.386264507,0.403789346,0.725812975,0.46466431,0.254912182,0.354227519,0.306976214,0.371869191,0.67125292,0.53234363,0.435545994,0.466871442,0.462746224,0.39996933
