name,S_down,maxvalue,range1,range2,dmq,V_sum,S_ret,curvature,alt_stderr_mean_5,alt_rvalue_min_50,V1,V2,stability,std,level_shift_size,var,dnp,fft_abs_1,F1,asoc,F2,erbc_num10_focus4,erbc_num10_focus2,maxindex,minang,fft_imag_3,fft_imag_6,fft_abs_22,lumpiness,minindex,alt_stderr_max_10,retvalue,sumang,mac,S,retang,S_low,retindex,S_sum,alt_stderr_min_5,minvalue,alt_stderr_mean_10,swd_coeff_2,std1st_der,cv,fft_angle_2,maxang,fft_real_2,fft_real_5,alt_stderr_min_50,alt_stderr_max_5,fft_angle_3
20221209-015026-12-1,0.1789374848907354,0.4034002883606772,0.3005561322642137,0.1689075259064625,0.1058190376008997,0.2239210053469795,0.2122540013003913,0.6703878253061086,0.3099409630373971,0.5022650382497796,0.282284304478148,0.17210157890609,0.1087499655402961,0.2897629233038576,0.3332634847478972,0.1224745151837917,0.0477244685174093,0.2383804342872693,0.36,0.2932799543056587,0.6818181818181818,0.6538501586282229,0.536554724893145,0.8,0.7851983145397227,0.3486249728801613,0.7035964343399252,0.652525508376578,0.0361611294946241,0.4,0.3122396591117202,0.3944953944280785,0.7971439541811584,0.2932799554106285,0.2282687555463108,0.8588355903535447,0.1901607339846951,0.875,0.2555093559756877,0.3025047188019639,0.4340519561652485,0.2583278434687098,0.1228457361522251,0.2650896476538043,0.2857117986930028,0.175904183874206,0.7212876293703839,0.468856689886561,0.4082606381131891,0.292353335435387,0.270251332647059,0.6163832845969046
20220922-163903-020,0.4353377244411865,0.6439297799739687,0.636023734535821,0.4808936843582964,0.4177587584388715,0.5209430532839514,0.4967317323978711,0.3210618383539055,0.6062242250523464,0.4166371910362589,0.5381027603055568,0.4485451494849825,0.3869329871222696,0.5776552582941322,0.6458292756756532,0.3793402800619715,0.3612060595009926,0.4976818590999065,0.52,0.507555213696657,0.6818181818181818,0.5389354965844262,0.4872853780667756,0.4,0.4886865771687574,0.5205586551098602,0.4519364265092451,0.1610699628608713,0.121236557416565,0.4,0.5820936392589259,0.584521804861077,0.5049784985714953,0.50755521453863,0.5170667094826724,0.5824971798746115,0.5183262922198189,0.875,0.5782506597838636,0.6054772836892846,0.5207202411964349,0.5004025015943474,0.369280119990667,0.5685415965242404,0.4557208573315559,0.4132848418206918,0.4602895451667408,0.5321423095652064,0.6298806898013247,0.5951893633930979,0.504119478785769,0.6300169905715401
20220814-013625-ÄÐ07,0.3893658642385068,0.4665712466901607,0.6296344695738355,0.6457637631591917,0.4293034174952134,0.6356006517464842,0.8518006510489191,0.3092117083293357,0.5847771303330798,0.71752524488244,0.6810950768427823,0.4699998210272784,0.3628274760159997,0.5747671765279146,0.6493414936936688,0.3760943672616986,0.518036632616502,0.4603671552192421,0.4,0.5666699681726646,0.9545454545454546,0.5557623944838845,0.3692215878350272,0.4,0.3881406004855873,0.4231930142466862,0.329191926664413,0.2359290240350488,0.1328336923674838,0.25,0.5558998469221631,0.4566453925247941,0.3888735119634062,0.5666699681502245,0.6083692293723842,0.5032408669713506,0.7133811047514846,1.0,0.7214932582149947,0.5964750076276156,0.3508522749308139,0.4772819180546034,0.3614812904664083,0.6208656533210234,0.5443751699126373,0.5228350288673703,0.3164282723142092,0.6716404456800047,0.7611157606422821,0.4042891592787769,0.4784588387947119,0.7244440565823166
20220920-000342-012,0.1320066327276138,0.4623308751879602,0.2947832794096736,0.3170542407902653,0.1344153635763809,0.4036137826370621,0.2710150737928989,0.7266502793355409,0.2722269645917261,0.8211938848704956,0.408609168156355,0.3941548425110843,0.0894041687167529,0.2687060978107841,0.3292248658447572,0.1089751134341898,0.0857141530761998,0.1791623141606718,0.24,0.358876965508362,0.4545454545454545,0.8676753661118174,0.3195961922608171,0.8,0.6001721336513361,0.3474298662440195,0.557879446209662,0.2912154008726574,0.0143646800114762,0.15,0.239016077863741,0.5045871462334821,0.6099912867523204,0.3588769692251329,0.3102744276931558,0.5696180635716305,0.1993901214462236,0.4583333333333333,0.3069792820724732,0.2788669569807385,0.4939656329915964,0.2166543049839019,0.0943919911344234,0.3411357110920549,0.236699819856704,0.7096442712904277,0.5982259114499133,0.8386243336207386,0.6491575704673671,0.1907061842209398,0.2209499978717517,0.7847527078960214
20220928-051401-050,0.0912497590587207,0.2273869282721408,0.1612679363189355,0.1077486797388833,0.0221127839203108,0.0539636990234743,0.2122487017749161,0.7599437012066658,0.1264747744011344,0.9822196108558386,0.0862732057926901,0.1095667618794161,0.0184542292654128,0.0985189021726001,0.1574187290780892,0.0263257703336628,0.0109302124062349,0.0423731268460996,0.36,0.1027113966236024,0.7272727272727273,0.8123718200522408,0.3619638102329401,0.6,0.9628810649645922,0.1745934725198939,0.4506911188616403,0.2148840907070885,0.0022205349382013,0.25,0.1007715626634571,0.0100922363191645,0.9536263078839856,0.1027113971310222,0.0911294927657889,0.8205145408462833,0.1387558625068234,0.7916666666666666,0.1511141835571381,0.1300301259260718,0.0891131184588887,0.100453702565126,0.0301021396113591,0.1153772276817838,0.2582149300416289,0.5342888078188834,0.918167842615178,0.7351152244069328,0.567950032305502,0.0245094089775603,0.1055602086940839,0.926326964489838
20220816-214459-ÄÐ17,0.0853801798379172,0.4722394009267305,0.1297312938294979,0.1048348573930083,0.0286406365417358,0.0816098438404031,0.0992463480915761,0.7599437012066658,0.08368593975171,0.9398743340963468,0.0418937679187203,0.2667129922345145,0.0219016133912508,0.0972442493367069,0.1095035692891409,0.0258844063315358,0.0049115661599539,0.0851556543645057,0.36,0.1175997178260176,0.1818181818181818,0.9550251525285685,0.3319948858309551,0.6,0.9318615213026948,0.31854144533048,0.6634062902512722,0.4155535448008122,0.000904457673194,0.25,0.0564212758572396,0.5247716295140129,0.9301962748830374,0.1175997198592847,0.1161093194791761,0.7083369777201057,0.0646616822315865,0.2916666666666667,0.1311315769428401,0.0889493744824951,0.5761898165665754,0.0638796794130389,0.0204468695201373,0.1019137629084554,0.0845824502405954,0.5122134923175844,0.949522160323136,0.7507212109685911,0.5459697334780229,0.0693526066946851,0.0680636542396574,0.6661472278114893
20221001-225654-1oct okt5 test1,0.3825388381208633,0.590518356240666,0.6641233380780108,0.6705620825612267,0.6971069233894838,0.8360350300793855,0.4209214983245262,0.2824108031372724,0.6144540208251328,0.5607375998474459,0.7263933952138422,0.9019383883218166,0.4004556159791821,0.6537548894683229,0.6925038136337915,0.4697546903836093,0.8061639944795902,0.433165871663436,0.4,0.6284636955881625,0.3181818181818182,0.7185223460363968,0.3042172227764996,0.4,0.1889259157982022,0.510348560924029,0.3609957299827756,0.3848134552376796,0.2265413619050683,0.25,0.5637642717996881,0.5761457824849772,0.1809989722958964,0.6284636954898783,0.7186502407073534,0.1943571684285283,0.4399766508063826,0.4166666666666667,0.6584186789137418,0.6328128236661854,0.4563624701940156,0.4926200781879382,0.4436045734093254,0.7514199214361907,0.5253387651096239,0.6141608797664616,0.2869426651211533,0.7948688109444313,0.355471523657117,0.5462380072985124,0.4967315307674145,0.7701812381310635
20221005-230803-5oct okt3 test1,0.326942247525773,0.7978150639134582,0.5825518677762419,0.4451996494586029,0.4868163634352133,0.7458021639342871,0.3265579017801111,0.3616014312390792,0.4816448839805554,0.8846539722106769,0.7481903221486975,0.6261783115432074,0.248044032459853,0.4761032701401835,0.6014263274464281,0.2733506170233964,0.5130195115483462,0.3392706491092,0.32,0.4755052036733346,0.3181818181818182,0.8088062360002116,0.3503404627650379,0.4,0.2840475570414948,0.3341799596396951,0.4128807047765742,0.2668551001136826,0.1700687113181135,0.15,0.4118850167481753,0.7567635510934715,0.284370716260822,0.4755052045546452,0.5678093970296,0.3519023051848631,0.3483867372850148,0.3333333333333333,0.5276983992305933,0.498589430242892,0.6940568161122316,0.3873194611421307,0.2095995429123261,0.5919839134643301,0.3050410871617849,0.6472492333112108,0.2442220656781785,0.8232148471532644,0.878750831136102,0.2279364819017897,0.3924878877464794,0.8470618436532078
20221014-224146-141022ipds01,0.5118604613217766,0.8138373019343605,0.8264428455560281,0.8067650658048167,0.9099241178539812,0.9020860565371608,0.8192657785638753,0.200345100355491,0.7243926091332684,0.772477160370804,0.8671865518269777,0.8017131374272201,0.5317070337418592,0.726097056025604,0.8292248601937514,0.5644338932698161,1.0,0.5411720848614789,0.44,0.713009480957991,0.5909090909090909,0.6929328561758689,0.2956704991467535,0.2,0.1463238877742361,0.4033849665978837,0.2544882096916459,0.2754209658321732,0.6978320889263798,0.25,0.6328844714653925,0.7736541294235002,0.1493319580971392,0.7130094836858076,0.8395784349099248,0.1363284451159916,0.7648439820879189,0.6666666666666666,0.8808924272207531,0.7508159726548762,0.6024116727411574,0.5902403104718347,0.5011076204725565,0.8266168509150056,0.4844426871487939,0.6536770604471592,0.1649647359152755,0.8653829288220987,0.8461032954282333,0.4658121968385494,0.5812259715482327,0.839900712768496
20221215-010839-9-1,0.5465903464323894,0.721296223161292,0.649645640294487,0.3552980164085887,0.3252876854042206,0.3707277372776215,0.3281861798751651,0.3513635766845966,0.6153134722997942,0.4166369820201179,0.3852230448930019,0.3540310022481087,0.4223592224882029,0.5818716326212905,0.6373147630344087,0.3841034095483102,0.2050109763476679,0.5458052657396073,0.72,0.4830006602675589,0.6363636363636364,0.469969505913572,0.5912773563498475,0.2,0.6335004075877023,0.4073103885852137,0.257712805569566,0.512092684006028,0.1441037690991638,0.6,0.6037933705703278,0.6183505839064032,0.64069702671695,0.4830006605061841,0.4079715267805656,0.7124236976939774,0.4781600443751884,1.0,0.4972883868171281,0.6043635287460939,0.590054868805376,0.5159568361981536,0.3792761694725735,0.4918408068205898,0.436927780928979,0.2975381118492484,0.5701271829343613,0.3719278759808608,0.6973281824774703,0.4877568158616424,0.5228905705736543,0.5730904671204117
