name,S_down,maxvalue,range1,range2,dmq,V_sum,S_ret,curvature,alt_stderr_mean_5,alt_rvalue_min_50,V1,V2,stability,std,level_shift_size,var,dnp,fft_abs_1,F1,asoc,F2,erbc_num10_focus4,erbc_num10_focus2,maxindex,minang,fft_imag_3,fft_imag_6,fft_abs_22,lumpiness,minindex,alt_stderr_max_10,retvalue,sumang,mac,S,retang,S_low,retindex,S_sum,alt_stderr_min_5,minvalue,alt_stderr_mean_10,swd_coeff_2,std1st_der,cv,fft_angle_2,maxang,fft_real_2,fft_real_5,alt_stderr_min_50,alt_stderr_max_5,fft_angle_3
20221215-044741-20,0.379322379,0.634037129,0.465297455,0.406758346,0.282934696,0.456111594,0.227964375,0.505391595,0.508439669,0.42862315,0.425012497,0.484557817,0.280135173,0.492207499,0.483775282,0.290237265,0.185483285,0.455396571,0.52,0.532657511,0.454545455,0.455046301,0.570774607,0.8,0.523061399,0.443350282,0.854368136,0.535748115,0.264745023,0.458333333,0.473448067,0.609665714,0.531274592,0.532657511,0.399259102,0.564324153,0.258133343,0.714285714,0.340903818,0.430308366,0.589464917,0.510934812,0.333241179,0.503822905,0.402268257,0.306396661,0.559494281,0.416799983,0.466809138,0.46087842,0.530729794,0.249768256
20221215-013452-11-2,0.454287377,0.758120784,0.64262025,0.440928378,0.322103738,0.517888391,0.339425488,0.348324109,0.666109227,0.428594165,0.514850188,0.493553741,0.500222715,0.643108305,0.687425355,0.457638413,0.391674395,0.670522977,0.64,0.53933546,0.5,0.42248039,0.665620106,0.6,0.460452806,0.560105496,0.577511016,0.071585922,0.199031182,0.541666667,0.646573872,0.657862069,0.474622999,0.539335461,0.450592144,0.62120958,0.374966694,0.857142857,0.420378205,0.567594448,0.622988128,0.667393403,0.375774358,0.578199747,0.498472236,0.33625273,0.442988625,0.427945588,0.769230531,0.53130895,0.676486621,0.477707429
20221215-013329-11-1,0.497939964,0.794720999,0.654586645,0.474781453,0.418656297,0.538810619,0.39467584,0.351751577,0.652632645,0.325393843,0.527518926,0.521668744,0.490588218,0.657459071,0.701335602,0.475474717,0.33936937,0.644667767,0.64,0.521013408,0.5,0.411681493,0.708949559,0.8,0.437758522,0.553502687,0.597309442,0.322675085,0.483042054,0.583333333,0.628290818,0.701478614,0.460852685,0.521013408,0.50320308,0.579093185,0.4367022,0.904761905,0.477041633,0.562485285,0.652343643,0.657340443,0.439735141,0.558496283,0.486490316,0.328063236,0.46076823,0.37347728,0.664543521,0.53909654,0.661140407,0.280793689
20221215-011021-9-3,0.374028894,0.705452182,0.548060876,0.316302848,0.617195817,0.49474467,0.303234896,0.394115971,0.559011809,0.45661693,0.528096085,0.423969726,0.351905214,0.535076558,0.585455908,0.334051485,0.283752021,0.522796932,0.52,0.37866441,0.409090909,0.533211517,0.558440471,0.6,0.489006957,0.416663594,0.381622351,0.187953873,0.103879057,0.416666667,0.514313269,0.60782571,0.517312867,0.37866441,0.457445526,0.707151224,0.304115334,0.619047619,0.39368434,0.485109485,0.618069836,0.555143283,0.292288244,0.462146689,0.415628503,0.409277308,0.478107481,0.520892596,0.410720389,0.496627882,0.556459666,0.589719636
20221215-010922-9-2,0.449537062,0.704559494,0.60711166,0.460119626,0.468777942,0.511046971,0.327419748,0.368506172,0.608694884,0.428591615,0.44369259,0.578968279,0.425681266,0.594878067,0.652306275,0.400132953,0.306692066,0.566602856,0.68,0.511618068,0.363636364,0.45283973,0.597703655,0.4,0.461555315,0.469202169,0.146283134,0.394306176,0.19627287,0.541666667,0.577172461,0.628029029,0.475875949,0.511618067,0.457551755,0.457886465,0.364339193,0.714285714,0.419844067,0.525595265,0.588714321,0.607989348,0.353897117,0.539882528,0.478153457,0.460320011,0.547220622,0.534406843,0.832523544,0.488289401,0.618744203,0.512243839
20221215-010839-9-1,0.430964948,0.723305946,0.5733785,0.299412095,0.488502762,0.439659136,0.193200676,0.371436881,0.606052721,0.428591615,0.409680155,0.470030459,0.424720936,0.580256871,0.613268596,0.383442528,0.257840876,0.59740903,0.68,0.450165972,0.272727273,0.459637553,0.585220352,0.4,0.540867476,0.351071014,0.198636744,0.400949659,0.132843919,0.541666667,0.5850328,0.607028742,0.561758711,0.450165971,0.411313606,0.6553426,0.265857146,0.619047619,0.351541726,0.518457677,0.622988128,0.609224306,0.332498346,0.488766134,0.454547374,0.39160082,0.569906769,0.471222805,0.714796432,0.488289401,0.617873792,0.589770089
20221215-010735-6-2,0.35113492,0.812574763,0.530761091,0.431654823,0.556624008,0.523569412,0.622385145,0.382494535,0.53214884,0.490275472,0.604436082,0.379571912,0.308249053,0.531248249,0.560336281,0.330017996,0.266740327,0.469185453,0.44,0.442446628,0.818181818,0.593012516,0.537968312,0.8,0.466039387,0.453394152,0.664077072,0.20508716,0.184306486,0.375,0.466144442,0.768387187,0.472536855,0.442446628,0.501374873,0.726756044,0.498816432,1.0,0.500931033,0.464125976,0.729240355,0.52877182,0.302701224,0.474728889,0.36052625,0.374511498,0.362302916,0.483986815,0.280594331,0.511510275,0.527234991,0.569640827
20221215-010638-8-2,0.443042523,0.688491107,0.610655418,0.413199734,0.463860068,0.557748627,0.338084657,0.348324109,0.641428171,0.42862315,0.606058906,0.452427964,0.46015221,0.629016986,0.652306275,0.440448438,0.405541559,0.617695472,0.52,0.469493621,0.545454545,0.422687594,0.651757154,0.6,0.426163688,0.51620226,0.403118168,0.68519173,0.280819895,0.416666667,0.610117215,0.592815537,0.457067271,0.469493619,0.480476048,0.660097961,0.36747273,0.761904762,0.434272329,0.556497762,0.571580845,0.643167546,0.387777965,0.547274299,0.512201391,0.36142712,0.415814904,0.433222542,0.596400674,0.531292256,0.647001407,0.494141298
20221215-010532-7-2,0.202914595,0.562622075,0.324818374,0.265190941,0.245054847,0.258352119,0.338782513,0.654201934,0.362061445,0.428582109,0.223506819,0.334234302,0.152273455,0.339081569,0.356178819,0.157987217,0.068422343,0.32094909,0.56,0.321758657,0.545454545,0.61894772,0.5016287,1.0,0.742330399,0.328232677,0.63466706,0.298373368,0.053119016,0.541666667,0.323224549,0.558009711,0.759557822,0.321758656,0.288964804,0.745435488,0.226575057,0.904761905,0.262696368,0.309888108,0.588714321,0.362927975,0.160331025,0.293472177,0.288120079,0.369776232,0.82190769,0.571134245,0.427349265,0.375064688,0.365008721,0.472850921
20221215-010435-8-1,0.479233785,0.687598419,0.627088793,0.467767497,0.313829631,0.599734715,0.383926116,0.321197017,0.642115604,0.460257688,0.626527022,0.515843648,0.441158976,0.634355706,0.658402741,0.446923373,0.344875628,0.605623227,0.52,0.511520437,0.5,0.426769058,0.602604587,0.6,0.38055287,0.54107771,0.535130862,0.0705247,0.329838043,0.416666667,0.594379133,0.602999831,0.408653206,0.511520439,0.555794852,0.614084861,0.418678773,0.714285714,0.499461093,0.559215298,0.562793041,0.643184645,0.430138035,0.547093136,0.510376731,0.338573946,0.363581855,0.409955851,0.468998558,0.599878136,0.638545254,0.456171143
20221215-010340-7-1,0.349067283,0.510846161,0.379622331,0.31473851,0.165224169,0.257550993,0.44087527,0.579452252,0.398180088,0.307038412,0.194232363,0.373800927,0.174410471,0.387743373,0.375186368,0.195907096,0.06528906,0.363740591,0.72,0.38169422,0.545454545,0.530154376,0.514852391,0.6,0.742120062,0.42378578,0.520384988,0.224906851,0.098692311,0.625,0.354506433,0.494211883,0.741904698,0.381694218,0.361019236,0.742644425,0.379202643,1.0,0.369811634,0.344207874,0.512568205,0.397649725,0.207763986,0.329338309,0.355000361,0.236564113,0.769627453,0.474354275,0.321759173,0.466337245,0.401420098,0.451375769
20221215-010227-6-1,0.318743081,0.776867236,0.477043697,0.365206278,0.205878702,0.467705227,0.311561145,0.412168519,0.532134834,0.433249525,0.439642689,0.489393731,0.310690181,0.501373144,0.535216655,0.299355365,0.210819459,0.497528614,0.52,0.403937777,0.363636364,0.579464748,0.519286424,0.8,0.510910293,0.448220578,0.51446302,0.053725038,0.174116231,0.458333333,0.474569361,0.735571944,0.54681979,0.403937776,0.444347393,0.637096198,0.277002089,0.619047619,0.374226601,0.463117463,0.720891256,0.535839958,0.267849968,0.442227614,0.348057257,0.445682997,0.580014341,0.573583644,0.405627381,0.509665626,0.528448696,0.545258141
20221215-001633-5-1,0.407330854,0.887560569,0.637748471,0.35562599,0.321551376,0.59331557,0.354338649,0.382928502,0.596546056,0.544075768,0.694016962,0.406451969,0.472366096,0.595058669,0.658410547,0.400341274,0.665942961,0.585673033,0.48,0.53782869,0.545454545,0.574604613,0.640924597,0.6,0.399293755,0.381134018,0.130751174,0.729323285,0.102251702,0.375,0.59928418,0.76287452,0.438848317,0.537828688,0.441989194,0.695264815,0.357053101,0.714285714,0.407459951,0.511365301,0.74958186,0.596837123,0.276346142,0.605451167,0.403235395,0.51883851,0.377855761,0.605976163,0.745010693,0.349464968,0.608106703,0.57839752
20221215-001505-4-2,0.309847816,0.796506376,0.480594556,0.510566944,0.321085445,0.489861381,0.821040822,0.405104838,0.477123317,0.693787449,0.533621472,0.405432809,0.260384101,0.476606259,0.524007275,0.27502919,0.356376462,0.394037238,0.44,0.400426321,0.909090909,0.715239433,0.391919355,0.4,0.495460023,0.355331195,0.460944567,0.230009816,0.044910495,0.291666667,0.446343878,0.806149507,0.510130072,0.400426321,0.508825652,0.647916094,0.604093164,1.0,0.549305715,0.428248222,0.738028159,0.463454756,0.233987321,0.480808169,0.31840819,0.576926288,0.483372445,0.709348923,0.643301224,0.384471562,0.460550985,0.737317855
20221215-001417-4-1,0.565167906,0.82072322,0.564266996,0.418547109,0.728587223,0.47495544,0.4092566,0.4311626,0.481541314,0.532116147,0.431898152,0.516267479,0.271093722,0.492911445,0.601559634,0.290932746,0.286661335,0.352696534,0.64,0.349996746,0.409090909,0.674603092,0.518849514,0.2,0.501874957,0.405362136,0.226276546,0.374164202,0.102703214,0.375,0.43963362,0.754732226,0.493323987,0.349996747,0.485532116,0.505749985,0.485787218,0.571428571,0.48821741,0.426467641,0.720891256,0.470482221,0.255018158,0.481217996,0.33808609,0.536939741,0.510876201,0.642758197,0.536650927,0.416782131,0.476813376,0.668794462
20221211-032120-L3,0.141594486,0.6939615,0.262898495,0.316302848,0.257102012,0.396946562,0.485007948,0.839590953,0.241905158,0.808567202,0.453288394,0.314558184,0.081375288,0.257735078,0.258104553,0.103143679,0.07052423,0.179551826,0.24,0.233767248,0.772727273,0.866674374,0.337135281,0.6,0.59556648,0.274387524,0.520251015,0.141253317,0.006869653,0.125,0.202063618,0.743479187,0.599822187,0.233767247,0.3200212,0.746068599,0.285859627,0.666666667,0.305024524,0.220296221,0.744663568,0.230322949,0.096172028,0.268248048,0.175319493,0.704198342,0.548791408,0.8172481,0.516252815,0.193245747,0.229086198,0.696325416
